dataset,coordinate,winter_median,summer_median,standardized_seasonal_separation,normalized_wasserstein_distance,95pct_interval_overlap_fraction,rank_by_standardized_separation
16S,depth_m,180.0,140.0,2.86809667450294,2.868096674502939,0.0,5.0
16S,sigma_theta,28.785249340968676,28.681392773560788,2.370825732602879,2.384897725908424,0.0,3.0
16S,salinity,39.1595,39.165049999999994,1.3296519853173783,1.3609605441760382,0.09244391971664638,1.0
16S,oxygen_umol_kg,202.37399,210.904,2.5853031999374783,2.5924473049920884,0.0,4.0
16S,hydro_PC1,0.37640285460578277,0.7108571725151485,2.3238042746207563,2.323804274620756,0.0,2.0
18S,depth_m,220.0,160.0,1.9632106792755288,2.0089150548777104,0.8333333333333334,4.0
18S,sigma_theta,28.886529872067058,28.62044479520273,2.2086893883481444,2.222665207838543,0.6590338255944466,5.0
18S,salinity,39.12575,39.1529,0.5474134480896073,1.0372821376238104,0.3539054966248927,1.0
18S,oxygen_umol_kg,189.34050000000002,196.855,0.9954093187681179,1.1325594060409616,0.9426903001514427,2.0
18S,hydro_PC1,-0.34249121576378383,0.2878280855371919,1.369564782323016,1.5736745317957985,0.580802318952591,3.0
18S_function,depth_m,120.0,120.0,0.6399343655804841,0.6594106288807599,0.4166666666666667,3.0
18S_function,sigma_theta,28.557508871290906,28.433736231640637,1.4318314947097266,1.4318314947097408,0.19186108051927495,5.0
18S_function,salinity,39.25485,39.15755,1.1527904111321725,1.4949347994317181,0.17839195979899267,4.0
18S_function,oxygen_umol_kg,212.226995,210.998495,0.35219930613681594,0.5191186248790005,0.6607425310728418,2.0
18S_function,hydro_PC1,1.1587736764736565,0.6906274423676373,0.046133158774369284,0.9992285595273934,0.33594993229504433,1.0
