dataset,season,optimum_depth_m,tied_optimum_depths_m,max_partial_R2,depth_m,sigma_theta,salinity,oxygen_umol_kg,hydro_PC1,n_ctd_profiles
16S,A_Winter,225.0,220;230,0.3663910297512691,225.0,28.931344290716197,39.1165,192.293,-0.25959712222736386,33
16S,Summer,140.0,140,0.3440149545320013,140.0,28.681392773560788,39.165049999999994,210.904,0.7108571725151485,38
18S,A_Winter,225.0,220;230,0.2464348456038282,225.0,28.92717296698686,39.10965,188.182505,-0.45052011292214666,10
18S,Summer,165.0,160;170,0.2037103628101234,165.0,28.653466556903368,39.1536,195.80499,0.23039434378891477,17
18S_function,A_Winter,120.0,120,0.2570862115569005,120.0,28.557508871290906,39.25485,212.226995,1.1587736764736565,10
18S_function,Summer,120.0,120,0.3057797816608905,120.0,28.433736231640637,39.15755,210.998495,0.6906274423676373,18
