layer,observed_optimum_m,observed_max_partial_R2,profile_shuffle_maxstat_p,null_median,null_95
16S,220.0,0.3768839436243875,0.002,0.009356019768467514,0.02171359566892209
18S,220.0,0.21913675370434843,0.002,0.007161496346590843,0.013634668603606678
traits,110.0,0.47453312674969705,0.002,0.009646393090978173,0.027133421489733082
