,A_surface,B_nearsurface,C_DCM,D_below_DCM,F_300-600,G_below_600,H_near_bottom
Puniceispirillales,5.128457306857271,4.039077682651399,1.979331838810214,0.1613849765258216,0.0,0.0,0.0
Rhodobacterales,2.485392766560487,2.9282560125865844,1.7702005356326342,0.08029825064525381,0.0,0.015785796033586603,0.02002110925806061
Synechococcales,9.736596763838273,9.835807585374809,9.002561398222088,0.30897855325336243,0.03549371761198268,0.020432201149010842,0.022877611491737827
Flavobacteriales,5.94418076269489,7.81529162116896,5.909185908095485,1.2115505335844319,0.3273067331670823,0.08474097508615333,0.08160135122175764
SAR86,12.06307515972445,11.734378222313879,8.910376377625287,4.615140201763444,3.6794048021643557,1.3558368495077355,1.1592893896822223
Rhodospirillales,9.616282722442502,8.233961364178391,5.8169200938871315,3.990807690151897,3.717967708487632,2.8455165915505876,2.9574206119162656
SAR11,29.41228851255456,26.639637491056522,26.68434713914908,17.23826714801444,15.170858832830664,16.131469588213072,14.211198887535971
Marine Group II,0.138342341741477,0.6258291149893132,2.1002565198802907,5.060858424087123,5.275706076537474,2.9269157994323556,2.558152036676234
SAR324,0.5764985412922979,0.7613111908800443,2.02741110339165,5.678249011150397,5.525911658294073,4.913516792817846,3.7972491619873674
SAR202,0.2137681239341797,0.5721268677442649,2.37627963719302,9.666171258717274,6.668405494696574,8.19329420278202,7.672901782054192
Marinimicrobia (SAR406),1.2178878525479573,2.056339505849027,4.293850387150445,6.559961315280464,8.015474412922492,9.649183265559309,12.183670785918753
Thermoplasmata,0.001578024418043179,0.30461455632535667,1.6279626526214988,2.6217228464419473,3.007795921102598,3.62072703620727,4.401563718726786
UBA10353 marine group,0.08262761438676668,0.40901363804849367,0.44890979050876445,1.4160013985198998,2.7003098716246123,2.9844547288477514,2.853245815634757
Nitrosopumilales,0.0,0.04519433564326605,1.981420126031313,13.97283468914492,20.269951668041966,20.00856035047082,20.836482494103098
