metric,value
boundary_m,220
upper_samples,143
deep_samples,106
upper_features,572
deep_features,335
upper_parasite_features,58
deep_parasite_features,47
upper_flashweave_total_edges,1492
deep_flashweave_total_edges,695
upper_parasite_protist_edges,210
deep_parasite_protist_edges,128
exact_edges_selected_in_both_networks,1
residual_supported_upper_union,241
residual_supported_deep_union,140
residual_supported_shared,95
residual_supported_jaccard,0.3321678321678322
formal_interaction_tests,207
FDR_significant_interactions,89
stronger_above_220m,53
stronger_below_220m,36
broad_guild_directional_enrichment_after_FDR,none
