metric,value
positive_associations,228
tier1_lineage_specific_candidate_host,6
tier2_host_plausible,61
tier3_robust_ecological,50
exploratory,111
key_direct_host_class_example,MALV-II clade 7 radiolarian
independent_reference,Kim et al. 2026 Journal of Phycology doi:10.1111/jpy.70160
